5511|37204|328088
174|31133|44843
3216|3356|12389
7979|1299|7979
58453|17828|55792
7137|3491|6762
15412|45903|55318
1299|174|3216
5511|3356|31133
17408|3462|9680
3257|3320|5483
24961|35657|174
8657|174|37613
16399|2828|63413
3356|12389|203516
8220|42989|51201
34927|12817|29317
577|3491|19551
5511|3215|47820
9002|3356|174
7473|1299|3257
1273|6762|37613
136975|132876|6939
3491|45899|63754
5511|6853|49865
3257|3491|9924
5511|3215|8891
9299|2914|701
3257|5511|8723
3257|3491|133752
174|3356|34171
56484|200485|206190
8359|3356|6453
9002|7979|1299
3257|1299|6939
3356|12389|8749
81|174|3356
174|1299|24028
3320|12857|28918
9299|2914|4780
3257|3320|197347
37662|3491|33765
3491|2914|54994
3491|9498|24560
20485|49107|57947
174|37282|37304
37613|328983|37012
5511|52468|27796
7713|174|1299
3491|20485|60693
6762|63956|136895
56484|200485|199826
3257|3320|206798
31287|6453|174
2828|13767|26994
3257|3320|34086
2914|1299|45896
1299|8881|48778
3491|6453|18403
6453|6762|30844
3257|3320|12329
36866|8966|6762
6453|37619|37228
5511|3215|199917
3491|3257|21559
5511|3215|199140
3257|5511|12479
7473|1299|2914
3257|3320|48097
3356|6453|16509
2647|51964|22723
3257|5511|8528
38442|6939|6461
49666|48159|57218
3257|3320|34906
3257|3320|43329
21277|34984|3320
58453|3491|4760
9002|4761|3491
6762|20485|49505
174|37100|36948
15456|1299|174
7991|3561|17989
5769|174|1299
3491|20485|6856
49666|48159|197343
23520|3491|12956
577|1239|3356
5511|1299|15133
174|267613|53138
5769|1299|174
48293|20764|174
3491|6774|45899
37288|37613|30997
3356|36994|29614
1299|3356|10753
43754|44400|56616
3356|16637|30986
8697|8376|202092
49666|25184|42907
9924|3491|7533
61678|4230|6453
26881|46887|6461
3320|5483|42854
27742|7137|3491
8966|3356|2914
4648|132528|45355
3257|3320|205867
50973|21183|205832
3257|3320|199306
199524|174|1299
43061|174|3356
31133|3356|3491
49666|25184|49103
6663|5511|6762
43966|9002|3356
132528|45355|135647
174|12389|31225
3356|174|31042
9927|23930|4637
209781|5400|174
6762|5511|2647
36866|8966|174
31133|20632|47231
3910|209|3561
8879|3320|57837
3257|3320|12337
174|5400|36224
3257|5511|36947
3356|8220|42989
3491|9498|21433
1299|31042|8866
12479|13041|49638
3257|5511|48432
3491|2914|30844
5483|5588|47324
6774|45899|23900
137|174|2914
3257|21559|395471
12880|42337|49148
3257|3320|12857
8359|3356|12301
4637|38082|136255
4845|17408|3462
43754|44400|58081
3257|5511|2609
6461|58453|17828
3257|3320|39356
3257|5511|37582
132139|135391|2914
135607|174|6461
6762|5511|8452
209|3561|396352
8966|174|6762
205647|31549|62048
3320|6855|57788
6762|3320|12912
43766|6762|174
3491|6453|54994
3491|174|267613
3326|1299|174
6453|5511|23889
3257|3491|55480
6762|30844|37619
3356|135607|56099
174|3356|16637
9002|137557|58453
3257|3320|201545
2609|5438|37719
3491|8100|394180
28917|3257|174
20485|6856|198076
38623|3491|3786
34984|3320|1299
9304|4775|1299
266356|4230|28513
174|37282|327845
9002|3356|6453
3257|58453|17828
1299|174|22652
174|48237|35819
6762|174|48237
3257|3320|207248
49666|25184|201442
8220|6461|9498
59796|212573|21277
2914|7552|38731
5511|37662|37183
35140|20764|174
3320|39063|29108
2914|8717|203578
9119|6939|1239
6762|5511|49666
5603|21246|204285
2914|30844|37447
5511|12479|12386
6939|1299|4648
203217|200485|203904
2914|30844|37619
37662|6939|3491
2609|5438|37705
267613|53138|266483
3491|20473|55079
37613|30997|327992
5511|49666|41689
196691|50509|5511
6821|12713|6663
212573|208293|56484
3257|5511|29571
132829|3491|6774
3257|5511|37090
50509|5511|174
31133|44843|50870
3257|3320|57911
5511|45430|45458
3758|9255|134407
174|23947|38525
3320|5483|200940
5511|3215|3299
3320|5483|43860
