12389|1273|3491
1299|3356|19551
41148|31133|3356
174|132876|136255
5639|23520|3491
137996|9299|3491
5511|9304|136523
3491|174|9304
3491|174|53013
174|3257|9498
4134|59605|31452
3491|20485|204036
3257|6762|30844
6762|15412|9304
812|7311|3356
37613|174|8346
2914|1299|20473
56418|31133|174
5511|37662|327952
37027|15399|58453
18187|58453|9304
48422|6939|1299
3491|18187|4779
6777|57344|43561
58453|3491|9299
31133|196691|3216
18101|9885|55824
26615|52564|262299
1299|9049|5563
1299|1273|12389
31882|2828|15265
6461|803|393598
9587|15932|2914
40065|2914|132422
1273|174|25512
12389|21103|30745
6762|174|53062
37204|5511|30844
2914|3223|35916
8966|174|3356
40065|2914|40676
56149|38731|7552
2516|2914|58453
1299|12389|41106
4761|1299|3356
9498|4007|133179
3356|1299|20485
5511|16637|36974
39279|25319|39279
577|1299|6939
42|715|54390
12178|174|3356
3491|52468|18747
1299|133385|133524
61135|12735|174
209|3561|22064
39533|43727|44158
20485|3491|199524
8657|174|16637
174|3356|5603
45899|131418|63733
1299|1239|33088
3491|174|132876
31059|31225|9002
4775|4766|174
174|5511|16058
6453|174|18351
196709|201986|205277
6453|1299|136106
134739|45558|4651
9498|3491|6453
2914|133385|133524
57724|12389|3356
3356|3491|20485
7004|6505|19338
28329|13786|7195
9121|25145|48292
174|8346|327809
8708|1299|3356
3356|9002|31323
9049|5563|41928
37468|3549|3356
29170|47394|200045
9002|28840|31133
55644|1273|3491
174|12615|205352
16637|30986|327947
6939|3491|55821
3356|2914|7552
48918|174|3356
17970|55821|9304
174|3257|12389
1273|12389|43797
174|3356|50857
28329|16735|52747
18187|6453|174
205834|1257|174
1299|5588|197848
9304|20485|6762
6713|25543|37205
1273|1299|24088
44628|28917|3257
209|3561|16761
31133|56418|8359
7552|3491|174
5511|6453|37619
3491|17639|135345
11342|174|3356
8966|3257|6762
1299|3249|8240
51464|202984|9002
174|9304|137406
174|31133|42526
6762|16637|132471
9927|9299|174
1299|3491|9299
209|3561|54645
31167|8218|174
3491|45899|131418
3491|4651|136975
196755|174|3356
1273|174|34772
2914|3491|20473
36994|37057|10798
31133|174|5511
58453|9927|23930
17400|174|3356
3491|6648|131276
3491|20485|50859
9498|6453|1299
22457|577|1299
58453|38082|135300
39279|3356|39279
3491|55821|17970
1299|2914|715
7991|2914|20940
2914|8220|50246
3255|49204|3326
43561|57344|1273
3257|6762|12615
2914|45558|134739
3356|174|12741
1273|3491|9498
8966|174|6453
60168|31287|1299
174|3356|37084
2914|20485|42861
38525|9340|132434
9002|3356|3910
135607|3491|6461
174|29170|47394
1273|12615|205352
6453|2914|30844
577|3257|1299
42313|6762|174
5588|3356|174
3356|44814|44100
15808|6762|174
3356|12430|6739
136975|132876|174
25086|8359|1299
40065|4635|62325
3356|9002|57073
8953|58175|8708
209|3561|40340
2914|6762|15924
9927|135607|174
6762|1299|34779
174|3356|21775
43391|174|12956
2516|2914|4651
33765|37545|327798
136168|134736|134976
31027|24679|34432
20764|3356|1299
6762|174|29170
22661|7004|61522
12713|1273|174
174|12956|27757
174|3356|135607
31133|3356|12389
19411|22661|19228
3257|1299|9049
16399|10796|7843
6830|43171|62081
35773|29084|3356
3491|1239|9304
174|3356|8708
328571|37012|327853
1299|34779|49593
4761|3491|19551
4635|9304|45499
3758|3491|19551
5588|8953|58175
8167|266356|28329
18747|10778|22661
9002|3356|16509
53013|271566|21574
3257|3491|39533
43962|5588|3356
62663|6453|174
1273|1299|9299
22869|27884|23520
18747|27932|1
26464|3356|1299
29119|201942|174
43061|3212|6939
58175|5588|8953
8657|174|37288
9304|45499|137406
3491|132167|136975
6939|3491|52468
55329|135375|137952
6762|7738|11271
6453|174|9498
174|6453|34984
174|5511|16637
3491|1273|55410
37063|37027|15399
7552|3491|2914
59605|31452|39273
7473|3491|9498
1299|174|12741
7473|38442|4637
38442|7473|6461
9049|5563|48429
12389|8641|61068
3356|37084|10798
1299|174|45899
6939|3491|8100
3491|6939|18106
9002|4761|58453
2516|2914|136168
174|3356|9002
136975|133524|136613
9241|45349|4638
1299|9299|4797
38278|9498|3491
2914|136168|134736
1299|4648|132528
63199|3491|4134
136106|46062|138840
3212|6939|1299
174|3491|9299
8218|174|5511
9121|43260|60721
174|16637|30986
209|3561|40685
3491|2914|45903
3356|174|31133
199599|9002|3356
55644|3491|1273
1273|55410|18207
3491|20940|33905
38082|135300|4809
7738|62663|6453
12956|3352|204643
3491|2914|136168
30372|3356|2914
2914|9121|43260
6762|174|43391
18106|134809|133164
3257|6762|3216
3491|4635|9304
1299|48237|35819
15412|9304|45499
3491|6762|7738
174|34772|41557
47655|29226|12389
19523|174|6461
202984|9002|3356
3491|132167|134739
6453|174|135607
43171|62081|3356
26881|7029|6461
3491|39533|34927
3491|33765|37545
20764|20485|2914
48940|31133|174
3356|1299|12389
58453|9927|9299
30844|37183|36986
577|1239|174
31287|1299|174
11956|3477|20033
60168|174|1299
135345|9927|58453
